index,generation,individual,bit_00,bit_01,bit_02,bit_03,bit_04,bit_05,bit_06,bit_07,bit_08,bit_09,bit_10,bit_11,bit_12,bit_13,bit_14,bit_15,bit_16,bit_17,bit_18,bit_19,bit_20,keff,ppf,fitness
1512,23,60,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402153772,1.113718320875593,36.19443240215377
1513,23,61,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154234,1.1137183208755932,36.194432402154234
1514,23,62,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1.2723149880912143,1.119315029022602,56.223149880912146
1515,23,63,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1.2677671742729835,1.098336833523503,52.177671742729835
1516,23,64,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1.267933258434041,1.1173310067714595,52.17933258434041
1517,23,65,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2706224053861195,1.11164291844865,40.20622405386119
1518,24,0,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1.2669336331395067,1.1489746846194067,24.169336331395066
1519,24,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1.2669336331395051,1.1489746846194064,24.16933633139505
1520,24,2,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1.2669336331395027,1.1489746846194067,24.169336331395026
1521,24,3,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1.2696002831413162,1.112778322687917,48.19600283141316
1522,24,4,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1.274986114473556,1.0978509467912676,56.24986114473556
1523,24,5,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1.2657110193486811,1.119266277986983,44.15711019348681
1524,24,6,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1.2751534665772528,1.1246596701347917,44.251534665772525
1525,24,7,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1.2696002831413418,1.1127783226879175,48.196002831413416
1526,24,8,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154412,1.1137183208755927,36.19443240215441
1527,24,9,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154883,1.1137183208755932,36.19443240215488
1528,24,10,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154154,1.113718320875593,36.194432402154156
1529,24,11,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1.2711447867464687,1.1335627102710981,44.211447867464685
1530,24,12,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154727,1.1137183208755934,36.194432402154725
1531,24,13,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402153977,1.113718320875593,36.19443240215398
1532,24,14,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154152,1.113718320875593,36.19443240215415
1533,24,15,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1.2751534665772555,1.1246596701347922,44.25153466577255
1534,24,16,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154578,1.113718320875593,36.194432402154575
1535,24,17,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402153926,1.1137183208755932,36.19443240215393
1536,24,18,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402153943,1.113718320875593,36.19443240215394
1537,24,19,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1.2743670695819567,1.1378816306115238,52.24367069581957
1538,24,20,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154157,1.1137183208755932,36.194432402154156
1539,24,21,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154459,1.113718320875593,36.19443240215446
1540,24,22,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154197,1.1137183208755927,36.1944324021542
1541,24,23,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154412,1.113718320875593,36.19443240215441
1542,24,24,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154237,1.1137183208755932,36.194432402154234
1543,24,25,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2761335998707244,1.1120020763877039,44.261335998707246
1544,24,26,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.269443240215436,1.1137183208755932,36.19443240215436
1545,24,27,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1.2700457471361957,1.1215863604036262,40.20045747136196
1546,24,28,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1.2742666144700412,1.1108305054191348,44.242666144700415
1547,24,29,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1.2722909392161827,1.1100951084526367,48.222909392161824
1548,24,30,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402153975,1.1137183208755932,36.19443240215397
1549,24,31,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.269443240215421,1.113718320875593,36.19443240215421
1550,24,32,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1.268480692090984,1.1335241533657594,44.184806920909836
1551,24,33,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.269443240215399,1.1137183208755932,36.19443240215399
1552,24,34,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1.2759125917474385,1.119975110532174,44.259125917474385
1553,24,35,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402155134,1.1137183208755932,36.19443240215514
1554,24,36,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1.2718231386743803,1.1065090087456355,44.2182313867438
1555,24,37,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.269443240215415,1.113718320875593,36.19443240215415
1556,24,38,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154237,1.113718320875593,36.194432402154234
1557,24,39,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154403,1.113718320875593,36.194432402154405
1558,24,40,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154932,1.1137183208755932,36.19443240215493
1559,24,41,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154192,1.1137183208755932,36.19443240215419
1560,24,42,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154274,1.113718320875593,36.19443240215428
1561,24,43,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.269443240215441,1.1137183208755932,36.19443240215441
1562,24,44,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1.2696852776732674,1.1108667263956828,52.196852776732676
